"Pertanyaan","Mean","Median","StdDev","N"
"Q8_KesadaranLimbah",4.66666666666667,5,0.492365963917331,12
"K1_Kerjasama",4.5,4.5,0.522232967867094,12
"K3_TanggungJawab",4.5,5,0.674199862463242,12
"Q10_Kepuasan",4.5,4.5,0.522232967867094,12
"Q6_KeterampilanSoft",4.5,4.5,0.522232967867094,12
"Q7_K3",4.5,5,0.674199862463242,12
"K4_Motivasi",4.33333333333333,4,0.65133894727893,12
"K5_Pemahaman",4.33333333333333,4,0.65133894727893,12
"Q9_KesadaranPeran",4.33333333333333,4,0.65133894727893,12
"Q3_Aplikasi",4.25,4,0.452267016866645,12
"K2_AktifKreatif",4.08333333333333,4,0.668557923421521,12
"Q5_IdentifikasiHama",4.08333333333333,4,0.668557923421521,12
"Q1_Pemahaman",4,4,0.603022689155527,12
"Q2_TeoriPraktik",4,4,0.738548945875996,12
"Q4_Observasi",3.58333333333333,4,0.668557923421521,12
